Percdeleted,AvgComKarma,TotalKarma,ComUpRatio,ContainsCant,ContainsDont,ContainsEveryone,ContainsAnyone,ContainsHappy,ContainsLove,AvgComLen,AvgWordLen,AvgCommTime,VoteTime,AvgVaderSentiment,post id,sub
0.024315068,5.121201413,70879,25.04558304,0.057267126,0.189561435,0.04385647,0.02283436,0.015585357,0.052917724,49.40449438,4.481222534,0.04146905,1.038616526,0.082116528,irv6ho,gatesopencomeonin
0.035569927,10.71171171,57347,46.96723997,0.044180119,0.139337298,0.03653356,0.022939677,0.016992353,0.041631266,36.47408666,4.450803634,0.006464084,0.303600166,0.003767205,dp5643,gatesopencomeonin
0.023961661,20.07781457,56864,94.14569536,0.01188455,0.067911715,0.008488964,0.005093379,0.001697793,0.020373514,17.60780985,4.394754604,0.002601312,0.244902301,0.111131579,gwonxs,gatesopencomeonin
0.022022022,18.54636092,51663,51.50847458,0.033639144,0.077471967,0.016309888,0.016309888,0.013251784,0.013251784,28.36187564,4.629622974,0.104414633,5.37823845,0.139034353,jn1piy,gatesopencomeonin
0.084168337,8.070666667,51016,34.01066667,0.032751092,0.122270742,0.023289665,0.016739447,0.008733624,0.020378457,31.57641921,4.57737519,0.007096378,0.241352551,0.062892213,fi41u2,gatesopencomeonin
0.042194093,15.6017316,47756,103.3679654,0.027149321,0.052036199,0.018099548,0.013574661,0.013574661,0.038461538,26.88461538,4.268029959,0.012592176,1.30162758,0.203920136,hn02pm,gatesopencomeonin
0.032659409,17.52631579,44702,69.19814241,0.008,0.0352,0.0096,0.0064,0.0064,0.024,18.144,4.544179894,0.00270001,0.186835669,0.19110896,e8rjk6,gatesopencomeonin
0.067784766,5.038194444,43262,30.04305556,0.033507074,0.157855547,0.055100521,0.031273269,0.005212211,0.015636634,53.91809382,4.644989781,0.006408755,0.192538578,-0.132823157,gxy2bw,gatesopencomeonin
0.139664804,16.13655462,43134,90.61764706,0.017456359,0.08478803,0.012468828,0.007481297,0.007481297,0.054862843,21.840399,4.267526833,0.002422632,0.219533236,0.244631421,gavukm,gatesopencomeonin
0.055441478,20.32783505,42000,86.59793814,0.002183406,0.061135371,0.006550218,0.006550218,0.004366812,0.021834061,22.1419214,4.439700227,0.003724711,0.322552279,0.136057205,dynuvp,gatesopencomeonin
0.052287582,5.706896552,41441,89.3125,0.018181818,0.065909091,0.006818182,0.018181818,0.004545455,0.015909091,21.20909091,4.510930133,0.001948286,0.174006283,0.182176818,foz07m,gatesopencomeonin
0.332123412,33.91578947,41014,86.34526316,0.010273973,0.089041096,0.006849315,0.003424658,0.006849315,0.006849315,19.79452055,4.503633218,0.769750169,66.46428089,0.096001712,glycz6,gatesopencomeonin
0.044615385,12.27258806,40342,61.77947933,0.020833333,0.056089744,0.019230769,0.009615385,0.001602564,0.121794872,21.33653846,4.592008412,0.017392061,1.074472467,0.173233974,hzlkw0,gatesopencomeonin
0.010174419,8.374449339,39022,57.3010279,0.014836795,0.09347181,0.025222552,0.029673591,0.008902077,0.080118694,32.16617211,4.158902214,0.003647075,0.208981141,0.156627448,f3q1ln,gatesopencomeonin
0.224489796,107.0755814,38791,225.5290698,0.015625,0.0390625,0.0078125,0.0078125,0,0.0234375,12.890625,4.363030303,0.471836138,106.4127652,0.146741406,jekwk8,gatesopencomeonin
0.100257069,20.53995157,36696,88.85230024,0.034759358,0.122994652,0.040106952,0.021390374,0.00802139,0.032085561,31.89839572,4.43319363,0.001821201,0.161817897,0.127897594,efh2u5,gatesopencomeonin
0.008230453,24.36864407,36611,155.1313559,0.004273504,0.021367521,0.004273504,0.004273504,0.038461538,0.038461538,16.85470085,4.42469574,0.001764572,0.273740372,0.187018376,exb8kw,gatesopencomeonin
0.029376499,8.585537919,34732,20.41857731,0.063559322,0.208232446,0.041767554,0.030266344,0.009079903,0.035714286,51.75181598,4.48774183,0.00709454,0.14486041,0.15819316,d67uk0,gatesopencomeonin
0.015151515,8.25498008,34088,135.8087649,0.044534413,0.141700405,0.036437247,0.04048583,0.020242915,0.028340081,41.48582996,4.234410071,0.047473442,6.447309523,-0.109010121,j4fqdw,gatesopencomeonin
0.065637066,15.8343949,34010,43.32484076,0.025885559,0.080381471,0.021798365,0.01226158,0.002724796,0.042234332,30.8119891,4.443137602,0.003203317,0.138783198,0.142283651,dckm6c,gatesopencomeonin
0.076496674,7.687891441,33683,35.15970772,0.05511811,0.13048369,0.024746907,0.035995501,0.006749156,0.011248594,48.36332958,4.500616351,0.795427812,27.9670094,-0.100559955,dc58am,gatesopencomeonin
0.06043956,11.09705882,33600,98.82352941,0.01572327,0.040880503,0.018867925,0.006289308,0.003144654,0.003144654,22.27987421,4.558080452,0.002060465,0.203622419,0.114283019,dtvudj,gatesopencomeonin
0.02734375,6.758333333,33407,139.1958333,0.012875536,0.081545064,0,0.025751073,0.008583691,0.034334764,20.24892704,4.354175498,0.136027432,18.93445178,0.201985408,fixzi2,gatesopencomeonin
0.127118644,21.52380952,32154,255.1904762,0.018018018,0.063063063,0.018018018,0.009009009,0.036036036,0.018018018,14.97297297,4.410950662,0.003365223,0.858772815,0.134061261,d75cwy,gatesopencomeonin
0.029333333,9.60326087,32027,87.0298913,0.016806723,0.075630252,0.042016807,0.008403361,0.019607843,0.06162465,31.99159664,4.363103056,0.009908103,0.862301148,0.250643697,erh7ys,gatesopencomeonin
0.081395349,11.68929504,31862,41.59530026,0.019914651,0.184921764,0.055476529,0.06401138,0.022759602,0.011379801,42.99715505,4.685645284,0.050117661,2.084659154,0.111894168,i01j2s,gatesopencomeonin
0.085744909,8.166847237,31807,34.46045504,0.047449585,0.163701068,0.029655991,0.014234875,0.008303677,0.049822064,45.18149466,4.48789645,0.003665203,0.12630457,0.173600237,dvp3mb,gatesopencomeonin
0.226415094,6.713692946,31345,130.0622407,0.044198895,0.127071823,0.044198895,0.011049724,0.011049724,0.033149171,40.28176796,4.262241119,0.012702183,1.652074382,0.015907182,iny4om,gatesopencomeonin
0.02259887,5.829850746,31278,93.36716418,0.067278287,0.201834862,0.042813456,0.024464832,0.009174312,0.055045872,45.87155963,4.419666667,0.008084078,0.754787403,0.307591437,gfmp4a,gatesopencomeonin
0.151515152,19.46625767,30761,188.7177914,0.037593985,0.052631579,0.037593985,0.015037594,0.015037594,0.037593985,20.21052632,4.478422619,0.007148992,1.349142011,0.082787218,f85mov,gatesopencomeonin
0.03271028,13.77358491,30708,144.8490566,0.029268293,0.048780488,0.019512195,0.014634146,0.019512195,0.073170732,22.11707317,4.497132775,0.001240121,0.179630368,0.346901463,eud67x,gatesopencomeonin
0.039164491,20.56217617,29892,77.44041451,0.035040431,0.105121294,0.02425876,0.021563342,0,0.016172507,34.24797844,4.423658114,0.005679299,0.439807277,0.075415364,ee7xwt,gatesopencomeonin
0.011235955,32.06818182,29762,112.7348485,0.026819923,0.072796935,0.01532567,0.011494253,0.003831418,0.01532567,23.67049808,4.419229524,0.001279705,0.144267358,0.210906897,eh98pz,gatesopencomeonin
0.031358885,10.14035088,29234,102.5754386,0.02173913,0.028985507,0.018115942,0,0.003623188,0.025362319,31.79710145,4.55674567,0.139375662,14.29651968,0.044655797,gx42f8,gatesopencomeonin
0.153614458,22.24846626,29169,89.47546012,0.043636364,0.065454545,0.029090909,0.018181818,0.010909091,0.04,21.63272727,4.455874937,0.044080959,3.944164118,0.131347636,fm5om7,gatesopencomeonin
0.06031746,15.86148649,29102,98.31756757,0.032490975,0.137184116,0.025270758,0.028880866,0.010830325,0.028880866,24.55234657,4.306278488,0.002095534,0.206027774,0.233453791,gyesou,gatesopencomeonin
0.034883721,19.17045455,29029,82.46875,0.079411765,0.2,0.05,0.029411765,0.011764706,0.011764706,57.63529412,4.816748316,0.00196048,0.161678364,-0.089874118,dhdbnx,gatesopencomeonin
0.00255102,23.84266667,28469,75.91733333,0.016042781,0.053475936,0.029411765,0,0.013368984,0.018716578,28.21122995,4.287840015,0.073996849,5.61764348,0.249159358,jo9ehu,gatesopencomeonin
0.015228426,17.04787234,28324,150.6595745,0.016216216,0.048648649,0.016216216,0.021621622,0,0.016216216,17.07567568,4.286166508,0.064791095,9.761398752,0.063462162,j5lrsf,gatesopencomeonin
0.021008403,30.51131222,28072,127.0226244,0.013888889,0.041666667,0.00462963,0.013888889,0.00462963,0.041666667,22.92592593,4.397617124,0.001786858,0.226971396,0.244182407,dsmjm5,gatesopencomeonin
0.015151515,13.91056911,27851,226.4308943,0.024793388,0.049586777,0.008264463,0.008264463,0,0.024793388,21.30578512,5.297905353,0.000561658,0.127176826,0.132339669,emc0zl,gatesopencomeonin
0.163088357,4.691151203,27230,11.6967354,0.035178479,0.173823073,0.042938438,0.034661148,0.015519917,0.019141231,41.22245215,4.625817301,0.014386194,0.168271501,0.029613502,ejwtqk,gatesopencomeonin
0.10951526,17.97282609,27068,49.03623188,0.032586558,0.112016293,0.026476578,0.018329939,0.012219959,0.040733198,29.40529532,4.341598559,0.002295802,0.112577465,0.125919552,g94fdf,gatesopencomeonin
0.015625,32.07936508,26994,71.41269841,0.008064516,0.040322581,0.005376344,0.024193548,0,0.016129032,22.38172043,4.57362479,0.007385005,0.527383129,0.077741129,ek3kf4,gatesopencomeonin
0.206185567,26.18686869,26904,67.93939394,0.037162162,0.246621622,0.016891892,0.013513514,0.027027027,0.02027027,42.50675676,4.61119059,0.002617173,0.177809168,0.20103277,ggoo8t,gatesopencomeonin
0.019417476,12.74162679,26399,126.3110048,0.014634146,0.029268293,0.019512195,0.014634146,0.019512195,0.048780488,21.28292683,4.420123768,0.000951761,0.120217848,0.257621951,ef3unl,gatesopencomeonin
0.015923567,9.943037975,26064,41.24050633,0.053054662,0.078778135,0.014469453,0.006430868,0.006430868,0.035369775,31.00643087,4.458104324,0.003050464,0.125802667,0.274323633,ehvdv0,gatesopencomeonin
0.087628866,17.13705584,25974,131.8477157,0.044444444,0.044444444,0,0.005555556,0,0.033333333,17.44444444,4.457643312,0.001618415,0.213384261,0.135506667,f59ci2,gatesopencomeonin
0.097902098,27.77124183,25729,168.1633987,0.021582734,0.014388489,0,0.014388489,0.007194245,0.021582734,14.92086331,4.597396336,0.006585408,1.107424653,0.088951799,enqnyp,gatesopencomeonin
